test_type,max_tps_per_process,test_run_time,block_rate,use_multiprocessing,initial_txs,network_topology,get_peer_spec_latency,peer_spec_latency,transaction_latency,block_latency,request_modifier_spec_latency,modifiers_spec_latency,n_nodes,n_forgers,n_tx_creator,initial_balances,mined_transactions,mined_blocks,end_balances,endpoint_calls,errors,not_mined_transactions
TestType.Transactions_Per_Second,100,50.2554550170899,10,True,2500,NetworkTopology.DaisyChain,0,0,0,0,0,0,2,1,1,"[0, 100000000000]",1300,"[7, 7]","[52000000000, 48000000000]",1300,1,1200
TestType.Transactions_Per_Second,100,50.4440920352936,10,True,2500,NetworkTopology.DaisyChain,0,0,0,0,0,0,2,1,1,"[0, 100000000000]",1396,"[7, 7]","[55840000000, 44160000000]",1400,1,1104
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,TPS TEST,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Fix blockrate = 5s,,,,,,,,,
,,,,,,,,,,,,,Fix latency = 0,,,,,,,,,
,,,,,,,,,,,,,1 process per node,,,,,,,,,
,,,,,,,,,,,,,14 nodes,,,,,,,,,
,,,,,,,,,,,,,1-3 forger,,,,,,,,,
,,,,,,,,,,,,,all other nodes are tx_creator,,,,,,,,,
,,,,,,,,,,,,,Star with forger at center,,,,,,,,,
,,,,,,,,,,,,,2 minutes test,,,,,,,,,
,,,,,,,,,,,,,tps desired = 980,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Assume that each node can have 70 TPS ,,,,,,,,,
